id,Moeda,Preço,1h,24h,7d,30d,Volume 24h,Capitalização de Mercado,FDV,Cap/FDV
1.0,Bitcoin  BTC,$107.714,0.8%,2.8%,3.6%,23.6%,$39.753.933.873,$2.137.670.302.053,$2.137.670.302.053,1.0
2.0,Ethereum  ETH,"$2.550,30",0.3%,2.9%,2.0%,57.6%,$23.358.148.240,$307.711.746.379,$307.711.746.379,1.0
3.0,Tether  USDT,"$1,00",0.0%,0.0%,0.0%,0.0%,$71.202.675.064,$151.963.240.235,$151.963.240.235,1.0
4.0,XRP  XRP,"$2,37",0.3%,1.7%,7.9%,12.4%,$2.653.835.484,$139.094.446.651,$237.239.953.945,0.59
5.0,BNB  BNB,"$655,54",0.1%,2.0%,0.1%,8.9%,$1.017.687.651,$95.632.640.150,$95.632.640.150,1.0
6.0,Solana  SOL,"$170,37",0.5%,2.6%,4.7%,23.7%,$4.106.600.944,$88.585.420.346,$102.413.743.415,0.86
7.0,USDC  USDC,"$0,9998",0.0%,0.0%,0.0%,0.0%,$10.859.848.961,$60.521.655.843,$60.525.186.767,1.0
8.0,Dogecoin  DOGE,"$0,2289",0.6%,4.5%,2.6%,42.7%,$2.004.672.396,$34.162.026.703,$34.179.396.106,1.0
9.0,Cardano  ADA,"$0,7575",0.5%,4.1%,7.2%,18.1%,$778.293.745,$27.304.019.471,$34.068.968.123,0.8
10.0,TRON  TRX,"$0,2708",0.0%,0.4%,1.7%,11.9%,$870.348.170,$25.698.704.229,$25.698.832.262,1.0
11.0,Lido Staked Ether  STETH,"$2.547,07",0.2%,2.9%,2.0%,57.9%,$25.817.648,$22.973.294.127,$22.973.294.127,1.0
12.0,Wrapped Bitcoin  WBTC,$107.503,0.3%,2.7%,3.4%,23.2%,$388.116.810,$13.841.349.999,$13.841.349.999,1.0
13.0,Sui  SUI,"$3,92",0.1%,2.6%,0.3%,76.1%,$946.736.740,$13.091.103.364,$39.214.562.544,0.33
14.0,Wrapped stETH  WSTETH,"$3.065,98",0.2%,2.9%,1.8%,57.6%,$22.472.206,$10.629.027.796,$10.629.027.796,1.0
15.0,Chainlink  LINK,"$15,87",0.6%,2.5%,6.6%,18.5%,$597.952.371,$10.429.182.779,$15.871.531.347,0.66
16.0,Avalanche  AVAX,"$22,79",0.4%,3.3%,11.0%,12.1%,$418.018.886,$9.586.169.593,$10.383.397.704,0.92
17.0,Stellar  XLM,"$0,2915",0.2%,3.3%,5.8%,13.5%,$186.515.479,$9.047.001.329,$14.565.399.711,0.62
